SISRecID,count,name_com,name_sci,status
22682836,0,Diard's Trogon,Harpactes diardii,NT
103848169,0,Black-headed Tanager,Tangara argentea,LC
103682795,0,Chestnut-belted Chat-tyrant,Ochthoeca thoracica,LC
103811601,0,Reunion Fody,Foudia delloni,EX
22729313,0,Northern Royal Flycatcher,Onychorhynchus mexicanus,LC
22728045,0,Lompobattang Fruit-dove,Ramphiculus meridionalis,VU
22719040,0,Brown-capped Weaver,Ploceus insignis,LC
22724613,0,Cinnamon-faced Tyrannulet,Phylloscartes parkeri,LC
103737970,0,Papuan Scrub-robin,Drymodes beccarii,LC
22691037,0,White-throated Ground-dove,Alopecoenas xanthonurus,NT
22720191,0,Southern Grosbeak-canary,Crithagra buchanani,LC
22684473,0,Banded Ground-cuckoo,Neomorphus radiolosus,EN
103879474,0,Tarim Hill-warbler,Rhopophilus albosuperciliaris,LC
103881097,0,Guianan Solitaire,Cichlopsis gularis,NT
103656933,0,Grey-browed Broadbill,Serilophus rubropygius,LC
22687190,0,Frilled Coquette,Lophornis magnificus,LC
22681396,0,Red-necked Woodpecker,Campephilus rubricollis,LC
22711653,0,Mouse-coloured Penduline-tit,Anthoscopus musculus,LC
103785851,0,Spotted Grasshopper-warbler,Locustella thoracica,LC
22686955,0,Pale-bellied Hermit,Phaethornis anthophilus,LC
22679137,0,Sri Lanka Spurfowl,Galloperdix bicalcarata,LC
103670275,0,Southern Spotted Woodcreeper,Xiphorhynchus aequatorialis,LC
103799746,0,Two-banded Warbler,Myiothlypis bivittata,LC
22704148,0,Strong-billed Honeyeater,Melithreptus validirostris,LC
22733682,0,Red-backed Thrush,Geokichla erythronota,NT
22727727,0,Lesser Sundas Goshawk,Accipiter sylvestris,LC
22729303,0,Trilling Tapaculo,Scytalopus parvirostris,LC
22714047,0,Rota White-eye,Zosterops rotensis,CR
22713004,0,Appert's Tetraka,Xanthomixis apperti,VU
22726758,0,Huanuco Starfrontlet,Coeligena dichroura,LC
22721509,0,Fulvous-headed Brush-finch,Atlapetes fulviceps,LC
103687293,0,Red-collared Myzomela,Myzomela rosenbergii,LC
103693003,0,Eastern Crested Berrypecker,Paramythia montium,LC
22696244,0,White-throated Caracara,Phalcoboenus albogularis,LC
22687893,0,Tourmaline Sunangel,Heliangelus exortis,LC
22700216,0,Austral Negrito,Lessonia rufa,LC
22691465,0,Rarotonga Fruit-dove,Ptilinopus rarotongensis,NT
22713185,0,Streak-breasted Bulbul,Hypsipetes siquijorensis,EN
22726637,0,North Solomons Dwarf-kingfisher,Ceyx meeki,LC
22728292,0,Red-lored Amazon,Amazona autumnalis,LC
22707455,0,Northern Puffback,Dryoscopus gambensis,LC
22723522,0,Nicaraguan Seed-finch,Sporophila nuttingi,LC
103693709,0,Lemon-chested Greenlet,Hylophilus griseiventris,LC
22702140,0,Pale-billed Hornero,Furnarius torridus,LC
22681528,0,Bamboo Woodpecker,Gecinulus viridis,LC
22714119,0,Black-crowned White-eye,Zosterops atrifrons,LC
22702209,0,Ochre-browed Thistletail,Asthenes coryi,LC
22701981,0,Common Miner,Geositta cunicularia,LC
22713474,0,Short-winged Cisticola,Cisticola brachypterus,LC
22722760,0,White-vented Euphonia,Euphonia minuta,LC
22686522,0,Moluccan Swiftlet,Aerodramus infuscatus,LC
22687032,0,Blue-fronted Lancebill,Doryfera johannae,LC
103716012,0,Chinese Paradise-flycatcher,Terpsiphone incei,LC
22687708,0,Peruvian Piedtail,Phlogophilus harterti,NT
22689755,0,Eared Poorwill,Nyctiphrynus mcleodii,LC
22683112,0,White-bellied Kingfisher,Corythornis leucogaster,LC
22706645,0,Golden Cuckooshrike,Campochaera sloetii,LC
22678157,0,Tawny-breasted Tinamou,Nothocercus julius,LC
22678160,0,Hooded Tinamou,Nothocercus nigrocapillus,LC
22678163,0,Berlepsch's Tinamou,Crypturellus berlepschi,LC
22678166,0,Cinereous Tinamou,Crypturellus cinereus,LC
22678172,0,Tepui Tinamou,Crypturellus ptaritepui,LC
22678213,0,Grey-legged Tinamou,Crypturellus duidae,LC
22729569,0,Red-legged Tinamou,Crypturellus erythropus,LC
22678220,0,Black-capped Tinamou,Crypturellus atrocapillus,LC
22678194,0,Choco Tinamou,Crypturellus kerriae,VU
22678246,0,Taczanowski's Tinamou,Nothoprocta taczanowskii,VU
22678259,0,Andean Tinamou,Nothoprocta pentlandii,LC
22678564,0,Red-billed Brush-turkey,Talegalla cuvieri,LC
22678568,0,Black-billed Brush-turkey,Talegalla fuscirostris,LC
22678593,0,Sula Scrubfowl,Megapodius bernsteinii,VU
22678615,0,Vanuatu Scrubfowl,Megapodius layardi,VU
22728514,0,Biak Scrubfowl,Megapodius geelvinkianus,NT
22678360,0,Baudo Guan,Penelope ortoni,EN
22678373,0,Red-faced Guan,Penelope dabbenei,LC
22678401,0,Trinidad Piping-guan,Pipile pipile,CR
22727323,0,Blue-throated Piping-guan,Pipile cumanensis,LC
22727333,0,White-throated Piping-guan,Pipile grayi,NT
22678422,0,Red-throated Piping-guan,Pipile cujubi,VU
22678440,0,Wattled Guan,Aburria aburri,NT
22678318,0,Rufous-headed Chachalaca,Ortalis erythroptera,VU
22678322,0,Rufous-bellied Chachalaca,Ortalis wagleri,LC
22678331,0,White-bellied Chachalaca,Ortalis leucogastra,LC
22678348,0,Buff-browed Chachalaca,Ortalis superciliaris,LC
45092100,0,Bare-faced Curassow,Crax fasciolata,VU
22679560,0,Plumed Guineafowl,Guttera plumifera,LC
22679615,0,Banded Quail,Philortyx fasciatus,LC
22679630,0,Marbled Wood-quail,Odontophorus gujanensis,LC
22679663,0,Dark-backed Wood-quail,Odontophorus melanonotus,VU
22679668,0,Rufous-breasted Wood-quail,Odontophorus speciosus,NT
22679673,0,Tacarcuna Wood-quail,Odontophorus dialeucos,LC
22679678,0,Gorgeted Wood-quail,Odontophorus strophium,VU
22679683,0,Venezuelan Wood-quail,Odontophorus columbianus,NT
22679693,0,Stripe-faced Wood-quail,Odontophorus balliviani,LC
22679720,0,Tawny-faced Quail,Rhynchortyx cinctus,LC
22724748,0,Spot-breasted Quail,Cyrtonyx sallei,NT
22679717,0,Ocellated Quail,Cyrtonyx ocellatus,VU
22679023,0,White-cheeked Partridge,Arborophila atrogularis,NT
22732183,0,Tan-breasted Partridge,Arborophila rolli,LC
22679038,0,White-faced Partridge,Arborophila orientalis,VU
22727395,0,Chestnut-necklaced Partridge,Tropicoperdix charltonii,VU
22727389,0,Sabah Partridge,Tropicoperdix graydoni,NT
22679131,0,Red Spurfowl,Galloperdix spadicea,LC
22679134,0,Painted Spurfowl,Galloperdix lunulata,LC
200035703,0,Vietnamese Crested Argus,Rheinardia ocellata,CR
22679393,0,Bornean Peacock-pheasant,Polyplectron schleiermacheri,EN
22736199,0,Grey Peacock-pheasant,Polyplectron bicalcaratum,LC
22679361,0,Bronze-tailed Peacock-pheasant,Polyplectron chalcurum,LC
22678927,0,Madagascar Partridge,Margaroperdix madagarensis,LC
22678971,0,African Blue Quail,Synoicus adansonii,LC
22678993,0,Snow Mountain Quail,Anurophasis monorthonyx,NT
22678664,0,Caspian Snowcock,Tetraogallus caspius,LC
22679002,0,Rock Bush-quail,Perdicula argoondah,LC
22678807,0,Clapperton's Francolin,Pternistis clappertoni,LC
22678815,0,Harwood's Francolin,Pternistis harwoodi,NT
