genus,lc_count,vu_count
hypoedaleus,1,0
hypopyrrhus,0,1
hypositta,1,0
hypotaenidia,6,8
hypothymis,2,2
hypsipetes,15,9
ianthocincla,6,3
ibidorhyncha,1,0
ibycter,1,0
icteria,1,0
icterus,30,4
icthyophaga,0,2
ictinaetus,1,0
ictinia,2,0
idiopsar,1,0
iduna,6,0
ifrita,1,0
ilicura,1,0
illadopsis,8,1
incana,1,0
incaspiza,4,1
indicator,8,2
inezia,4,0
iodopleura,2,1
iole,3,2
irania,1,0
irediparra,1,0
irena,1,2
iridophanes,1,0
iridosornis,4,1
isleria,2,0
islerothraupis,3,0
ispidina,2,0
ithaginis,1,0
ixidia,1,2
ixobrychus,10,0
ixonotus,1,0
ixoreus,1,0
ixos,3,2
jabiru,1,0
jacamaralcyon,0,1
jacamerops,1,0
jacana,2,0
jubula,0,1
junco,3,2
jynx,2,0
kakamega,1,0
kaupifalco,1,0
kempiella,2,0
kenopia,0,1
ketupa,3,0
kittacincla,5,1
klais,1,0
kleinothraupis,3,2
knipolegus,13,0
kupeornis,1,2
kurochkinegramma,1,0
lacedo,2,0
lafresnaya,1,0
lagonosticta,12,0
lagopus,3,0
lalage,16,5
lampornis,8,0
lamprolaima,1,0
lamprolia,0,2
lampropsar,1,0
lamprospiza,1,0
lamprotornis,23,0
laniarius,15,3
laniellus,0,2
laniisoma,0,2
lanio,4,0
laniocera,2,0
lanioturdus,1,0
lanius,27,4
larosterna,0,1
larus,37,6
larvivora,4,4
laterallus,7,7
lathamus,0,1
lathrotriccus,1,1
laticilla,0,2
legatus,1,0
leiopicus,3,0
leioptila,1,0
leiothlypis,6,0
leiothrix,2,1
leipoa,0,1
leistes,4,1
leonardina,1,0
lepidocolaptes,12,0
lepidogrammus,1,0
lepidopygia,1,0
lepidothrix,6,2
leptasthenura,9,2
leptocoma,7,0
leptodon,1,1
leptopoecile,2,0
leptopogon,4,1
leptopterus,1,0
leptoptilos,1,2
leptosittaca,1,0
leptosomus,1,0
leptotila,7,4
leptotrygon,1,0
lerwa,1,0
lesbia,2,0
lessonia,2,0
leucippus,4,0
leucocarbo,3,7
leucochloris,1,0
leucogeranus,0,1
leuconotopicus,5,1
leucopeza,0,1
leucopsar,0,1
leucopternis,3,0
leucosarcia,1,0
leucosticte,4,2
lewinia,2,2
lichenostomus,2,0
lichmera,10,0
limnoctites,0,1
limnodromus,2,1
limnornis,1,0
limnothlypis,1,0
limosa,2,2
linaria,3,1
linurgus,1,0
liocichla,3,2
lioparus,1,0
liosceles,1,0
lipaugus,5,4
lissotis,2,0
loboparadisea,0,1
lobotos,0,2
lochmias,1,0
locustella,18,1
loddigesia,0,1
lonchura,27,4
lophaetus,1,0
lophoceros,8,0
lophodytes,1,0
lophoictinia,1,0
lopholaimus,1,0
lophonetta,1,0
lophophanes,2,0
lophophorus,1,2
lophopsittacus,2,0
lophorina,7,0
lophornis,8,3
lophospingus,2,0
lophostrix,1,0
lophotibis,0,1
lophotis,3,0
lophotriccus,4,0
lophotriorchis,0,1
lophura,3,8
loriculus,10,3
lorius,3,3
loxia,4,1
loxigilla,2,0
loxioides,0,1
loxipasser,1,0
loxops,1,3
lullula,1,0
lurocalis,2,0
luscinia,2,0
lybius,6,3
lycocorax,2,0
lymnocryptes,1,0
lyncornis,2,0
lyrurus,1,1
macgregoria,0,1
machaerirhynchus,2,0
machaeropterus,5,0
macheiramphus,1,0
machetornis,1,0
machlolophus,2,2
mackenziaena,2,0
macroagelaius,1,1
macrocephalon,0,1
macronectes,2,0
macronus,1,1
macronyx,4,3
macropsalis,1,0
macropygia,12,0
macrosphenus,4,1
madanga,0,1
magumma,0,1
malacocincla,2,1
malaconotus,2,4
malacopteron,2,4
malacoptila,7,1
malacorhynchus,1,0
malcorus,1,0
malia,1,0
malimbus,8,2
malindangia,1,0
malurus,12,0
manacus,4,0
mandingoa,1,0
manorina,3,1
manucerthia,0,1
manucodia,4,0
mareca,4,1
margarobyas,1,0
margaroperdix,1,0
margarops,1,0
margarornis,2,2
marmaronetta,0,1
mascarenotus,3,0
mascarinus,1,0
maschalethraupis,1,0
masius,1,0
mayrornis,1,2
mazaria,1,0
mearnsia,1,1
mecocerculus,6,0
megabyas,1,0
megaceryle,4,0
megacrex,1,0
megadyptes,0,1
megalampitta,1,0
megaloprepia,2,0
megalurulus,3,4
megalurus,1,0
megapodius,5,7
megarynchus,1,0
megascops,20,3
megastictus,1,0
megatriorchis,0,1
megaxenops,1,0
megazosterops,0,1
meiglyptes,2,2
melaenornis,9,1
melampitta,1,0
melamprosops,1,0
melanerpes,23,0
melaniparus,15,0
melanitta,4,2
melanocharis,5,0
melanochlora,1,0
melanocorypha,5,0
melanodera,2,0
melanodryas,2,0
melanopareia,4,0
melanoperdix,0,1
melanoptila,0,1
melanorectes,1,0
melanospiza,1,1
melanotis,2,0
meleagris,1,1
meliarchus,1,0
melichneutes,1,0
melidectes,6,0
melidora,1,0
melierax,3,0
melignomon,1,1
melilestes,1,0
melionyx,2,1
meliphacator,1,0
meliphaga,3,0
melipotes,4,0
melithreptus,8,0
melitograis,1,0
mellisuga,1,1
melloria,1,0
melocichla,1,0
melopsittacus,1,0
melospiza,3,0
melozone,8,1
mentocrex,1,1
menura,1,1
merganetta,1,0
mergellus,1,0
mergus,3,1
meropogon,1,0
merops,26,1
merulaxis,0,2
mesembrinibis,1,0
mesitornis,0,2
metabolus,0,3
metallura,7,2
metopidius,1,0
metopothrix,1,0
metriopelia,4,0
micrastur,6,1
micrathene,1,0
microbates,2,0
microcarbo,5,0
microcerculus,4,0
microchera,1,0
microdynamis,1,0
